iter	RMSE
0	1.817764113
1	1.748378791
2	1.696958509
3	1.638388391
4	1.59282657
5	1.538671495
6	1.488961051
7	1.447462221
8	1.407603346
9	1.371628003
10	1.345419954
11	1.316188964
12	1.285436572
13	1.265283084
14	1.239213946
15	1.216797046
16	1.196041794
17	1.173395128
18	1.155528574
19	1.141880403
20	1.127573912
21	1.112893298
22	1.098790467
23	1.0848099
24	1.075950437
25	1.065116438
26	1.056805318
27	1.047217653
28	1.038656966
29	1.033915518
30	1.025168844
31	1.017274336
32	1.010008576
33	1.002452144
34	0.9972329826
35	0.9918921538
36	0.9876322451
37	0.9835790447
38	0.9763900181
39	0.9714586706
40	0.9666097474
41	0.9634887734
42	0.9608928191
43	0.9577701326
44	0.95552247
45	0.9524214045
46	0.9484875195
47	0.9456840252
48	0.9425526692
49	0.9396055933
50	0.9367379742
51	0.9340200403
52	0.9326695538
53	0.9302815351
54	0.9286507843
55	0.9276142227
56	0.9262986672
57	0.9245654966
58	0.9226776087
59	0.9213001425
60	0.9181443754
61	0.9160288079
62	0.914736008
63	0.9133757722
64	0.9114212458
65	0.9098238573
66	0.9082116199
67	0.906818464
68	0.9051201425
69	0.9036930036
70	0.9027023825
71	0.9008466782
72	0.8990008822
73	0.8977441681
74	0.8964207444
75	0.8948514784
76	0.8941791036
77	0.8934650713
78	0.8923347078
79	0.8907238584
80	0.8886481158
81	0.8873640926
82	0.8865033109
83	0.8859412826
84	0.8851752222
85	0.8835904766
86	0.8829795294
87	0.8817263184
88	0.8798133539
89	0.8793957827
90	0.8781438151
91	0.8773195721
92	0.8754551482
93	0.8747411329
94	0.8741273635
95	0.8731754931
96	0.8725290754
97	0.871570963
98	0.8709982928
99	0.8702408881
100	0.8695994594
101	0.8692107936
102	0.8687032867
103	0.8678345109
104	0.8667772374
105	0.8657878696
106	0.8652203328
107	0.864145438
108	0.8636597607
109	0.8628165487
110	0.8617367712
111	0.8608630456
112	0.8604515865
113	0.8599963953
114	0.8594020392
115	0.8589320335
116	0.8585675624
117	0.8582992453
118	0.8577214727
119	0.8571294584
120	0.855996105
121	0.8556196975
122	0.8545167479
123	0.8535921936
124	0.8530489819
125	0.8526683484
126	0.8514342747
127	0.851155314
128	0.8506912758
129	0.8504278116
130	0.8493119282
131	0.8484590301
132	0.8480569624
133	0.8470992443
134	0.8464963098
135	0.8460088803
136	0.8451071809
137	0.8441509006
138	0.8439059578
139	0.8427434204
140	0.8423236597
141	0.8412292561
142	0.8404293751
143	0.8398951715
144	0.8387366522
145	0.8383486154
146	0.836902933
147	0.8365953533
148	0.8362156928
149	0.8359333052
150	0.8354021987
151	0.835122321
152	0.8345526797
153	0.8341443464
154	0.833756468
155	0.8331062053
156	0.83264034
157	0.8319140298
158	0.8312604259
159	0.8305406158
160	0.8302985909
161	0.8290796668
162	0.8284586097
163	0.8278477619
164	0.8271530832
165	0.8261817375
166	0.8251473302
167	0.824496697
168	0.8237217528
169	0.8233944148
170	0.8231480338
171	0.8223857905
172	0.8213760727
173	0.821021579
174	0.8206919762
175	0.8198800658
176	0.8192536681
177	0.8186209325
178	0.8180112963
179	0.8173701982
180	0.8169332575
181	0.816322661
182	0.8155865522
183	0.8153215737
184	0.8146818453
185	0.8141824329
186	0.813445596
187	0.812677401
188	0.8120775783
189	0.8118511884
190	0.8113404379
191	0.8106817707
192	0.8100023481
193	0.8094040834
194	0.8086932994
195	0.8083054568
196	0.8076079787
197	0.8069426689
198	0.8065344189
199	0.80591598
200	0.8054769781
201	0.805163677
202	0.8049056687
203	0.8045978283
204	0.8039278816
205	0.8033836152
206	0.8030880262
207	0.8027018585
208	0.8023878257
209	0.8020983919
210	0.8016514284
211	0.8014269547
212	0.8010536817
213	0.8007034239
214	0.8003014612
215	0.7998987931
216	0.7996767194
217	0.7992558011
218	0.7990411024
219	0.7986995412
220	0.7983945183
221	0.7977350229
222	0.7973615003
223	0.7969445051
224	0.7964643292
225	0.7961498325
226	0.795526824
227	0.7951218559
228	0.7948033298
229	0.7943436693
230	0.7940595956
231	0.7934804775
232	0.7930547967
233	0.7925717236
234	0.7920510515
235	0.7918062644
236	0.7912967594
237	0.7908347752
238	0.7904823178
239	0.7902987954
240	0.7898522851
241	0.7893907938
242	0.7891061512
