iter	Passed	Remaining
0	162	162306
1	171	85449
2	179	59551
3	185	46280
4	189	37728
5	193	32001
6	195	27797
7	198	24593
8	200	22050
9	202	20020
10	204	18358
11	206	16976
12	208	15806
13	210	14796
14	212	13937
15	214	13179
16	216	12502
17	218	11895
18	219	11355
19	221	10871
20	223	10437
21	225	10038
22	227	9681
23	229	9349
24	231	9042
25	233	8757
26	235	8491
27	237	8247
28	239	8019
29	241	7806
30	243	7609
31	245	7425
32	247	7248
33	249	7083
34	251	6924
35	253	6777
36	254	6635
37	256	6503
38	259	6383
39	261	6265
40	262	6148
41	264	6040
42	266	5937
43	268	5839
44	270	5745
45	272	5659
46	275	5580
47	277	5499
48	279	5420
49	281	5343
50	283	5268
51	284	5194
52	286	5124
53	288	5057
54	290	4994
55	292	4935
56	294	4873
57	296	4816
58	298	4758
59	300	4705
60	302	4652
61	304	4605
62	306	4562
63	309	4524
64	311	4481
65	313	4440
66	315	4396
67	317	4351
68	319	4309
69	321	4270
70	323	4235
71	325	4197
72	327	4162
73	329	4126
74	331	4090
75	333	4055
76	335	4020
77	337	3986
78	339	3956
79	341	3924
80	343	3892
81	344	3861
82	346	3831
83	348	3804
84	350	3777
85	352	3749
86	354	3724
87	356	3696
88	358	3670
89	360	3644
90	362	3619
91	364	3594
92	366	3570
93	367	3546
94	370	3526
95	372	3503
96	373	3480
97	375	3458
98	377	3436
99	379	3415
100	381	3394
101	383	3373
102	385	3356
103	387	3337
104	389	3318
105	391	3300
106	393	3281
107	395	3262
108	396	3244
109	398	3226
110	400	3210
111	402	3194
112	404	3178
113	406	3161
114	408	3145
115	410	3128
116	412	3111
117	414	3095
118	415	3079
119	418	3065
120	419	3050
121	421	3036
122	423	3021
123	425	3006
124	427	2992
125	429	2978
126	431	2964
127	433	2951
128	435	2937
129	436	2923
130	438	2910
131	440	2897
132	442	2883
133	444	2871
134	446	2857
135	448	2846
136	450	2835
137	452	2824
138	454	2812
139	455	2800
140	457	2788
141	459	2776
142	461	2764
143	463	2753
144	465	2742
145	466	2731
146	468	2720
147	470	2709
148	472	2698
149	474	2687
150	476	2676
151	477	2665
152	479	2657
153	481	2647
154	483	2636
155	485	2626
156	487	2616
157	489	2607
158	491	2597
159	493	2588
160	495	2580
161	497	2571
162	498	2562
163	500	2553
164	502	2543
165	504	2534
166	506	2525
167	508	2516
168	510	2508
169	512	2500
170	514	2492
171	516	2484
172	517	2475
173	519	2467
174	521	2459
175	523	2451
176	525	2443
177	527	2437
178	529	2429
179	531	2421
180	533	2413
181	535	2405
182	537	2398
183	539	2390
184	540	2382
185	543	2376
186	545	2370
187	547	2362
188	548	2355
189	550	2348
190	552	2341
191	554	2334
192	556	2326
193	558	2320
194	560	2313
195	562	2306
196	564	2299
197	566	2292
198	567	2286
199	569	2279
200	571	2272
201	573	2266
202	575	2259
203	577	2252
204	579	2246
205	581	2240
206	583	2233
207	584	2227
208	586	2221
209	589	2216
210	591	2211
211	593	2204
212	595	2198
213	597	2192
214	598	2186
215	600	2180
216	602	2175
217	604	2169
218	607	2164
219	608	2158
220	610	2152
221	612	2146
222	614	2141
223	616	2135
224	618	2129
225	620	2123
226	622	2118
227	623	2112
228	625	2107
229	627	2101
230	629	2095
231	631	2089
232	633	2084
233	635	2079
234	637	2074
235	639	2069
236	641	2063
237	642	2058
238	644	2052
239	646	2047
240	648	2042
241	650	2037
242	652	2032
243	654	2028
244	656	2022
245	658	2017
246	659	2011
247	661	2006
248	663	2001
249	665	1996
250	667	1991
251	669	1987
252	671	1982
253	673	1977
254	675	1973
255	677	1968
256	679	1963
257	680	1958
258	682	1953
259	684	1949
260	686	1944
261	688	1939
262	690	1934
263	692	1929
264	693	1924
265	695	1919
266	697	1914
267	699	1910
268	701	1907
269	703	1902
270	705	1897
271	707	1893
272	709	1889
273	711	1884
274	713	1879
275	714	1875
276	716	1871
277	718	1866
278	720	1862
279	722	1857
280	724	1852
281	726	1848
282	727	1844
283	729	1839
284	731	1836
285	733	1832
286	736	1828
287	738	1824
288	739	1820
289	741	1816
290	743	1812
291	745	1808
292	748	1805
293	750	1801
294	752	1797
295	753	1793
296	755	1788
297	757	1784
298	759	1780
299	761	1776
300	763	1773
301	765	1769
302	767	1765
303	769	1761
304	771	1757
305	773	1753
306	775	1749
307	777	1745
308	779	1742
309	781	1738
310	783	1735
311	784	1730
312	786	1726
313	788	1722
314	790	1719
315	792	1715
316	794	1712
317	796	1708
318	798	1704
319	800	1700
320	802	1696
321	803	1692
322	805	1688
323	807	1684
324	809	1681
325	811	1677
326	813	1674
327	815	1670
328	817	1667
329	819	1663
330	821	1660
331	823	1656
332	825	1653
333	827	1650
334	829	1646
335	831	1642
336	833	1638
337	835	1635
338	836	1631
339	838	1627
340	840	1624
341	842	1620
342	844	1617
343	846	1613
344	847	1609
345	849	1606
346	851	1602
347	853	1599
348	855	1596
349	857	1592
350	859	1589
351	861	1586
352	863	1582
353	865	1579
354	867	1575
355	869	1572
356	870	1568
357	872	1565
358	875	1562
359	876	1558
360	878	1555
361	880	1551
362	882	1548
363	884	1544
364	886	1541
365	888	1538
366	890	1535
367	892	1532
368	894	1528
369	895	1525
370	897	1522
371	899	1518
372	901	1515
373	903	1512
374	905	1509
375	907	1506
376	909	1502
377	911	1499
378	913	1496
379	915	1492
380	916	1489
381	918	1486
382	920	1483
383	922	1480
384	924	1477
385	926	1474
386	928	1470
387	930	1467
388	932	1464
